index;ID;author;title;year;frequency;degree;betweenness;closeness
165;165;Blumenthal, Oskar;Im weißen Rößl;1898;GIESECKE;LEOPOLD;GIESECKE;LEOPOLD
264;264;Wagner, Heinrich Leopold;Die Reue nach der That;1775;LANGEN;SEVERAL;SEVERAL;SEVERAL
241;241;Raimund, Ferdinand;Der Verschwender;1834;FLOTTWELL;FLOTTWELL;FLOTTWELL;FLOTTWELL
348;348;Gleich, Joseph Alois;Der Eheteufel auf Reisen;1821;CHOR;CHOR;CHOR;CHOR
319;319;Wagner, Richard;Götterdämmerung;1876;HAGEN;HAGEN;SIEGFRIED;HAGEN
199;199;Boßdorf, Hermann;Bahnmeister Dood;1919;SEVERAL;SEVERAL;SEVERAL;SEVERAL
55;55;Devrient, Philipp Eduard;Hans Heiling;1833;ANNA;SEVERAL;HEILING;SEVERAL
232;232;Schnitzler, Arthur;Reigen;1902;SEVERAL;SEVERAL;SEVERAL;SEVERAL
334;334;Mosenthal, Salomon Hermann von;Die lustigen Weiber von Windsor;1849;FRAU FLUTH;FALSTAFF;FALSTAFF;FALSTAFF
268;268;Birch-Pfeiffer, Charlotte;In der Heimath;1865;ROSE;ROSE;DORE;ROSE
287;287;Lassalle, Ferdinand;Franz von Sickingen;1859;FRANZ;FRANZ;FRANZ;FRANZ
440;440;Günderode, Karoline von;Magie und Schicksal;1805;SEVERAL;SEVERAL;SEVERAL;SEVERAL
329;329;Haffner, Carl;Die Fledermaus;1874;EISENSTEIN;SEVERAL;EISENSTEIN;SEVERAL
274;274;Tieck, Ludwig;Ritter Blaubart;1797;SEVERAL;KLAUS;KLAUS;KLAUS
437;437;Kleist, Heinrich von;Amphitryon;1807;SOSIAS;SEVERAL;SEVERAL;SEVERAL
432;432;Lautensack, Heinrich;Hahnenkampf;1908;APOTHEKER;APOTHEKER;APOTHEKER;APOTHEKER
189;189;Gemmingen-Hornberg, Otto Heinrich von;Der deutsche Hausvater oder die Familie;1780;HAUSVATER;HAUSVATER;HAUSVATER;HAUSVATER
171;171;Alberti, Konrad;Brot!;1888;MÜNZER;MÜNZER;MÜNZER;MÜNZER
67;67;Lachmann, Hedwig;Salome;1905;JOCHANAAN;SEVERAL;SEVERAL;SEVERAL
95;95;Sonnleithner, Joseph Ferdinand von;Fidelio;1805;ROCCO;SEVERAL;DIE GEFANGENEN;SEVERAL
35;35;Benedix, Julius Roderich;Die Hochzeitsreise;1849;EDMUND;SEVERAL;SEVERAL;SEVERAL
415;415;Wagner, Richard;Tannhäuser und Der Sängerkrieg auf Wartburg;1845;SEVERAL;TANNHÄUSER;TANNHÄUSER;TANNHÄUSER
50;50;Leisewitz, Johann Anton;Julius von Tarent;1776;JULIUS;JULIUS;JULIUS;JULIUS
306;306;Schnitzler, Arthur;Der Puppenspieler;1903;SEVERAL;SEVERAL;SEVERAL;SEVERAL
389;389;Laube, Heinrich;Struensee;1844;GULDBERG;SEVERAL;SEVERAL;SEVERAL
89;89;Schnitzler, Arthur;Anatol;1893;ANATOL;ANATOL;ANATOL;ANATOL
384;384;Brentano, Clemens;Die Gründung Prags;1815;SEVERAL;SEVERAL;SEVERAL;SEVERAL
256;256;Schikaneder, Johann Emanuel;Die Zauberflöte;1791;PAPAGENO;SEVERAL;PAPAGENO;SEVERAL
396;396;Wagner, Heinrich Leopold;Die Kindermörderin;1776;SEVERAL;SEVERAL;VON GRÖNINGSECK;SEVERAL
53;53;Klinger, Friedrich Maximilian;Sturm und Drang;1777;CAROLINE;WILD;BERKLEY;WILD
239;239;Hauptmann, Carl;Der Antiquar;1909;SEVERAL;SEVERAL;SEVERAL;SEVERAL
180;180;Kaltneker, Hans;Die Opferung;1925;DER PRINZ;DER PRINZ;DER PRINZ;DER PRINZ
270;270;Arnim, Ludwig Achim von;Marino Caboga;1826;SEVERAL;SEVERAL;SEVERAL;SEVERAL
276;276;Essig, Hermann;Der Frauenmut;1912;ROLAND;ROLAND;ROLAND;ROLAND
145;145;Busoni, Ferruccio;Turandot;1917;SEVERAL;KALAF;KALAF;KALAF
174;174;Holz, Arno;Sonnenfinsternis;1908;SEVERAL;SEVERAL;SEVERAL;SEVERAL
57;57;Kotzebue, August von;Die Indianer in England;1789;LIDDY;SEVERAL;SEVERAL;SEVERAL
74;74;Platen, August von;Die verhängnisvolle Gabel;1826;SCHMUHL;SEVERAL;SEVERAL;SEVERAL
459;459;Dulk, Albert;Die Wände;1848;HANS;HANS;HANS;HANS
236;236;Dehmel, Richard Fedor Leopold;Die Menschenfreunde;1917;SEVERAL;SEVERAL;SEVERAL;SEVERAL
461;461;Sudermann, Hermann;Der Bettler von Syrakus;1911;ARRATOS;DER BLINDE;DER BLINDE;DER BLINDE
438;438;Kupelwieser, Josef;Fierrabras;1897;EMMA;SEVERAL;FLORINDA;SEVERAL
219;219;Bunge, Rudolf;Der Trompeter von Säkkingen;1884;SEVERAL;SEVERAL;SEVERAL;SEVERAL
286;286;Grillparzer, Franz;König Ottokars Glück und Ende;1825;SEVERAL;SEVERAL;SEVERAL;SEVERAL
295;295;Wohlbrück, Wilhelm August;Der Vampyr;1828;SEVERAL;ALLGEMEINER CHOR;ALLGEMEINER CHOR;ALLGEMEINER CHOR
99;99;Hartleben, Otto Erich;Hanna Jagert;1893;HANNA;HANNA;HANNA;HANNA
22;22;Schnitzler, Arthur;Zum grossen Wurstel;1906;SEVERAL;SEVERAL;SEVERAL;SEVERAL
52;52;Ertler, Bruno;Das Spiel von Doktor Faust;1923;FAUST;SEVERAL;MEPHISTOPHELES;FAUST
116;116;Raimund, Ferdinand;Der Barometermacher auf der Zauberinsel;1823;QUECKSILBER;QUECKSILBER;QUECKSILBER;QUECKSILBER
177;177;Brandes, Johann Christian;Ino;1779;ATHAMAS;SEVERAL;INO;SEVERAL
272;272;Lessing, Gotthold Ephraim;Der junge Gelehrte;1748;DAMIS;SEVERAL;SEVERAL;SEVERAL
9;9;Gotter, Friedrich Wilhelm;Der Dorfjahrmarkt;1775;FIKFAK;SEVERAL;BÄRBCHEN;SEVERAL
157;157;Goethe, Johann Wolfgang von;Clavigo;1774;SEVERAL;SEVERAL;SEVERAL;SEVERAL
121;121;Grillparzer, Franz;Ein Bruderzwist in Habsburg;1848;SEVERAL;KLESEL;KLESEL;KLESEL
305;305;Nestroy, Johann;Eulenspiegel oder Schabernack über Schabernack;1835;EULENSPIEGEL;MEHLWURM;NELKENSTEIN;MEHLWURM
170;170;Grillparzer, Franz;Die Jüdin von Toledo;1851;SEVERAL;SEVERAL;SEVERAL;SEVERAL
320;320;Krüger, Johann Christian;Die Candidaten oder Die Mittel zu einem Amte zu gelangen;1747;SEVERAL;SEVERAL;SEVERAL;SEVERAL
390;390;Holz, Arno;Ignorabimus;1914;SEVERAL;SEVERAL;SEVERAL;SEVERAL
169;169;Wette, Adelheid;Hänsel und Gretel;1893;SEVERAL;SEVERAL;SEVERAL;SEVERAL
352;352;Dovsky, Beatrice;Mona Lisa;1915;SEVERAL;SEVERAL;SEVERAL;SEVERAL
149;149;Sorge, Reinhard Johannes;Der Sieg des Christos;1924;FRANZISKUS;LUTHER;LUTHER;LUTHER
423;423;Lenz, Jakob Michael Reinhold;Der Engländer;1776;ROBERT;ROBERT;ROBERT;ROBERT
376;376;Ganghofer, Ludwig;Der Herrgottschnitzer von Ammergau;1880;LONI;LOISL;LOISL;LOISL
321;321;Neuber, Friederike Caroline;Ein Deutsches Vorspiel;1734;ALETHEA;ALETHEA;ALETHEA;ALETHEA
3;3;Wedekind, Frank;Der Kammersänger;1899;GERARDO;GERARDO;GERARDO;GERARDO
173;173;Krüger, Johann Christian;Die Geistlichen auf dem Lande;1743;FRÄULEIN WILHELMINE;SEVERAL;SEVERAL;SEVERAL
353;353;Niebergall, Ernst Elias;Datterich;1841;DATTERICH;DATTERICH;DATTERICH;DATTERICH
48;48;Brandes, Johann Christian;Ariadne auf Naxos;1775;ARIADNE;ARIADNE;ARIADNE;ARIADNE
68;68;Cronegk, Johann Friedrich von;Der Mißtrauische;1760;SEVERAL;SEVERAL;SEVERAL;SEVERAL
277;277;Schnitzler, Arthur;Das weite Land;1910;SEVERAL;SEVERAL;SEVERAL;SEVERAL
358;358;Grillparzer, Franz;Der Traum ein Leben;1834;SEVERAL;SEVERAL;SEVERAL;SEVERAL
20;20;Mühsam, Erich;Judas. Ein Arbeiterdrama;1921;SEVERAL;SEVERAL;SEVERAL;SEVERAL
282;282;Ayrenhoff, Cornelius Hermann von;Virginia oder das abgeschaffte Decemvirat;1790;VIRGINIA;SEVERAL;VIRGINIA;SEVERAL
195;195;Arnim, Ludwig Achim von;Jerusalem;1811;SIDNEY;SIDNEY;SIDNEY;SIDNEY
62;62;Nestroy, Johann;Der böse Geist Lumpazivagabundus oder Das liederliche Kleeblatt;1833;ZWIRN;ZWIRN;ZWIRN;ZWIRN
350;350;Hartleben, Otto Erich;Die sittliche Forderung;1896;SEVERAL;SEVERAL;SEVERAL;SEVERAL
313;313;Tieck, Ludwig;Die verkehrte Welt;1800;SEVERAL;SCÄVOLA;SCÄVOLA;SCÄVOLA
202;202;Braun von Braunthal, Karl Johann;Das Nachtlager von Granada;1834;JÄGER;SEVERAL;SEVERAL;SEVERAL
388;388;Goethe, Johann Wolfgang von;Satyros oder Der vergötterte Waldteufel;1773;SATYROS;SEVERAL;SEVERAL;SEVERAL
45;45;Gutzkow, Karl;Zopf und Schwert;1844;ERBPRINZ;KÖNIG;FRÄULEIN VON SONNSFELD;KÖNIG
13;13;Klopstock, Friedrich Gottlieb;Der Tod Adams;1757;ADAM;SEVERAL;SEVERAL;SEVERAL
416;416;Raimund, Ferdinand;Die gefesselte Phantasie;1828;SEVERAL;CHOR;CHOR;CHOR
107;107;Sudermann, Hermann;Die Ehre;1889;ROBERT;SEVERAL;MÜHLINGK;SEVERAL
6;6;Gutzkow, Karl;Richard Savage oder Der Sohn einer Mutter;1839;SAVAGE;SAVAGE;SAVAGE;SAVAGE
190;190;Klinger, Friedrich Maximilian;Die Zwillinge;1776;GUELFO;GRIMALDI;GRIMALDI;GRIMALDI
289;289;Holtei, Karl von;Ein Trauerspiel in Berlin;1832;EHRENTHAL;DÖRTHE;DÖRTHE;DÖRTHE
144;144;Kurz, Joseph von;Prinzessin Pumphia;1767;KULICAN;KULICAN;KULICAN;KULICAN
406;406;Hauptmann, Carl;Gaukler, Tod und Juwelier;1917;LIONEL MANDER;SEVERAL;ASTARTE;ASTARTE
387;387;Hofmannsthal, Hugo von;Der Turm;1924;SEVERAL;JULIAN;JULIAN;JULIAN
218;218;Schink, Johann Friedrich;Hanswurst von Salzburg mit dem hölzernen Gat;1778;HANSWURST;HANSWURST;HANSWURST;HANSWURST
185;185;Bauernfeld, Eduard von;Industrie und Herz;1842;BALDINGER;HERMINE;HERMINE;HERMINE
56;56;Thoma, Ludwig;Moral;1908;BEERMANN;BEERMANN;BEERMANN;BEERMANN
240;240;Wildenbruch, Ernst von;Die Haubenlerche;1890;LENE;SEVERAL;SEVERAL;SEVERAL
135;135;Wedekind, Frank;Fritz Schwigerling oder Der Liebestrank;1899;SCHWIGERLING;FÜRST;FÜRST;FÜRST
142;142;Kotzebue, August von;Menschenhaß und Reue;1790;DER MAJOR;DER MAJOR;DER MAJOR;DER MAJOR
361;361;Thoma, Ludwig;Die Lokalbahn;1902;BÜRGERMEISTER;BÜRGERMEISTER;BÜRGERMEISTER;BÜRGERMEISTER
359;359;Hippel, Theodor Gottlieb von;Der Mann nach der Uhr, oder der ordentliche Mann;1765;SEVERAL;SEVERAL;SEVERAL;SEVERAL
84;84;Panizza, Oskar;Das Liebeskonzil;1895;GOTT VATER;SEVERAL;MARIA;GOTT VATER
41;41;Alberti, Konrad;Im Suff;1890;SEVERAL;SEVERAL;SEVERAL;SEVERAL
412;412;Werner, Zacharias;Der vierundzwanzigste Februar;1809;TRUDE;SEVERAL;SEVERAL;SEVERAL
243;243;Goethe, Johann Wolfgang von;Faust. Der Tragödie erster Teil;1808;SEVERAL;FAUST;FAUST;FAUST
429;429;Scheerbart, Paul;Die Welt geht unter!;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
115;115;Hofmannsthal, Hugo von;Alkestis;1894;SEVERAL;SEVERAL;SEVERAL;SEVERAL
159;159;Hofmannsthal, Hugo von;Jedermann;1911;SEVERAL;SEVERAL;SEVERAL;SEVERAL
130;130;Goethe, Johann Wolfgang von;Der Triumph der Empfindsamkeit;1778;SEVERAL;MANDANDANE;MANDANDANE;MANDANDANE
178;178;Goethe, Johann Wolfgang von;Die Mitschuldigen;1776;SÖLLER;SEVERAL;SEVERAL;SEVERAL
193;193;Auenbrugger, Johann Leopold von;Der Rauchfangkehrer oder Die unentbehrlichen Verräther ihrer Herrschaften aus Eigennutz;1781;VOLPINO;HERR VON BÄR;HERR VON BÄR;HERR VON BÄR
455;455;Beer, Michael;Der Paria;1823;BENASCAR;BENASCAR;BENASCAR;BENASCAR
273;273;Devrient, Philipp Eduard;Die Gunst des Augenblicks;1836;LANDRATH;LANDRATH;LANDRATH;LANDRATH
410;410;Scheerbart, Paul;Der Regierungswechsel;1897;SEVERAL;SEVERAL;SEVERAL;SEVERAL
339;339;Bretzner, Christoph Friedrich;Belmont und Constanze oder Die Entführung aus dem Serail;1781;PEDRILLO;PEDRILLO;PEDRILLO;PEDRILLO
399;399;Holz, Arno;Traumulus;1904;NIEMEYER;NIEMEYER;NIEMEYER;NIEMEYER
312;312;Immermann, Karl;Andreas Hofer, der Sandwirt von Passeyer;1835;ANDREAS HOFER;ANDREAS HOFER;ANDREAS HOFER;ANDREAS HOFER
119;119;Meisl, Karl;Der lustige Fritz oder Schlafe, Träume, stehe auf, kleide dich an und bessre dich!;1818;FRITZ;FRITZ;FRITZ;FRITZ
109;109;Hofmannsthal, Hugo von;Der Rosenkavalier;1911;SEVERAL;SEVERAL;SEVERAL;SEVERAL
168;168;Stavenhagen, Fritz;Mudder Mews;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
404;404;Törring, Josef August von;Agnes Bernauerin;1780;SEVERAL;ALBRECHT;AGNES;ALBRECHT
198;198;Goethe, Johann Wolfgang von;Der Großkophta;1792;NICHTE;SEVERAL;GRAF;SEVERAL
213;213;Weißenthurn, Johanna von;Die Schwestern St. Janvier;1821;DIAKUE;SEVERAL;DESSALINES;SEVERAL
163;163;Wildgans, Anton;In Ewigkeit Amen;1912;SEVERAL;SEVERAL;SEVERAL;SEVERAL
347;347;Borkenstein, Hinrich;Der Bookesbeutel;1742;AGNETA;SEVERAL;SEVERAL;SEVERAL
69;69;Laufs, Carl;Pension Schöller;1898;PHILIPP KLAPPROTH;KISSLING;KISSLING;KISSLING
324;324;Hebbel, Friedrich;Judith;1840;SEVERAL;ACHIOR;ACHIOR;ACHIOR
217;217;Schiller, Friedrich;Don Carlos, Infant von Spanien;1787;CARLOS;KÖNIG;KÖNIG;KÖNIG
111;111;Hensler, Karl Friedrich;Die Teufelsmühle am Wienerberg;1799;GÜNTHER;GÜNTHER;GÜNTHER;GÜNTHER
98;98;Thoma, Ludwig;Erster Klasse;1910;SEVERAL;SEVERAL;SEVERAL;SEVERAL
187;187;Wildgans, Anton;Armut;1915;SEVERAL;SEVERAL;MARIE;SEVERAL
83;83;Nestroy, Johann;Der Talisman;1843;TITUS;TITUS;SALOME;TITUS
227;227;Schiller, Friedrich;Die Jungfrau von Orleans;1801;JOHANNA;JOHANNA;JOHANNA;JOHANNA
374;374;Lenz, Jakob Michael Reinhold;Die Soldaten;1776;MARIANE;MARY;MARY;MARY
25;25;Schiller, Friedrich;Wallensteins Lager;1798;TROMPETER;TROMPETER;TROMPETER;TROMPETER
355;355;Bäuerle, Adolf;Die Bürger in Wien;1813;STABERL;STABERL;STABERL;STABERL
392;392;Hebbel, Friedrich;Siegfrieds Tod;1861;KRIEMHILD;KRIEMHILD;KRIEMHILD;KRIEMHILD
307;307;Riese, Friedrich Wilhelm;Martha oder Der Markt zu Richmond;1847;LADY;MÄGDE;MÄGDE;MÄGDE
224;224;Goethe, Johann Wolfgang von;Die Laune des Verliebten;1768;AMINE;SEVERAL;SEVERAL;SEVERAL
152;152;Kleist, Heinrich von;Penthesilea;1808;SEVERAL;DIE ERSTE AMAZONE;DER ERSTE GRIECHE;DIE ERSTE AMAZONE
451;451;Schiller, Friedrich;Die Verschwörung des Fiesco zu Genua;1782;FIESCO;FIESCO;FIESCO;FIESCO
254;254;Laube, Heinrich;Monaldeschi;1841;CHRISTINE;SEVERAL;SEVERAL;SEVERAL
103;103;Klinger, Friedrich Maximilian;Die neue Arria;1776;DONNA SOLINA;SEVERAL;JULIO;SEVERAL
172;172;Wildenbruch, Ernst von;Die Quitzows;1888;PERWENITZ;PERWENITZ;DIETRICH;PERWENITZ
117;117;Nestroy, Johann;Der Unbedeutende;1846;PUFFMANN;PETER;PUFFMANN;PETER
210;210;Hofmannsthal, Hugo von;Arabella;1928;SEVERAL;SEVERAL;SEVERAL;SEVERAL
344;344;Stephanie, Johann Gottlieb (der Jüngere);Doktor und Apotheker;1786;SICHEL;KRAUTMANN;KRAUTMANN;KRAUTMANN
464;464;Weißenthurn, Johanna von;Welcher ist der Bräutigam?;1821;FERDINAND;SEVERAL;SEVERAL;SEVERAL
367;367;Ertler, Bruno;Belian und Marpalye;1924;DER FREMDE;DER FREMDE;DER FREMDE;DER FREMDE
87;87;Lessing, Gotthold Ephraim;Miß Sara Sampson;1755;MELLEFONT;MELLEFONT;MELLEFONT;MELLEFONT
94;94;Lortzing, Albert (Gustav);Zar und Zimmermann;1837;ZAR;CHOR;CHOR;CHOR
382;382;Schröder, Friedrich Ludwig;Der Vetter in Lissabon;1784;WAGNER;MAD. WAGNER;MAD. WAGNER;MAD. WAGNER
278;278;Avenarius, Ferdinand;Faust;1919;FAUST;FAUST;FAUST;FAUST
263;263;Lautensack, Heinrich;Medusa;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
105;105;Wagner, Richard;Siegfried;1853;SEVERAL;SEVERAL;DER WANDERER;SEVERAL
155;155;Lenz, Jakob Michael Reinhold;Die Freunde machen den Philosophen;1775;STREPHON;STREPHON;STREPHON;STREPHON
71;71;Wedekind, Frank;Tod und Teufel;1906;SEVERAL;SEVERAL;SEVERAL;SEVERAL
346;346;Körner, Theodor;Zriny;1812;ZRINY;ZRINY;MEHMED;ZRINY
401;401;Lessing, Gotthold Ephraim;Die alte Jungfer;1749;SEVERAL;SEVERAL;SEVERAL;SEVERAL
462;462;Gottsched, Luise Adelgunde Victorie;Die Pietisterey im Fischbein-Rocke;1736;FRAU GLAUBELEICHTIN;FRAU GLAUBELEICHTIN;FRAU GLAUBELEICHTIN;FRAU GLAUBELEICHTIN
433;433;Chézy, Helmina von;Euryanthe;1823;CHOR;SEVERAL;ADOLAR;SEVERAL
311;311;Schiller, Friedrich;Maria Stuart;1800;SEVERAL;ELISABETH;MARIA;SEVERAL
110;110;Klingemann, August;Faust;1815;FAUST;FAUST;FAUST;FAUST
453;453;Laube, Heinrich;Die Karlsschüler;1846;GENERALIN;SEVERAL;SEVERAL;SEVERAL
2;2;Hafner, Philipp;Mägera, die förchterliche Hexe oder Das bezauberte Schloß des Herrn von Einhorn;1763;ODOARDO;SEVERAL;SEVERAL;SEVERAL
393;393;Grabbe, Christian Dietrich;Hannibal;1835;HANNIBAL;HANNIBAL;HANNIBAL;HANNIBAL
245;245;Wagner, Richard;Der fliegende Holländer;1843;HOLLÄNDER;HOLLÄNDER;HOLLÄNDER;HOLLÄNDER
257;257;Weidmann, Paul;Der Dorfbarbier;1796;LUX;SEVERAL;SEVERAL;SEVERAL
427;427;Raimund, Ferdinand;Moisasurs Zauberfluch;1827;GLUTHAHN;ALZINDE;ALZINDE;ALZINDE
211;211;Ayrenhoff, Cornelius Hermann von;Der Postzug oder die noblen Passionen;1769;SEVERAL;DIE BARONINN;DIE BARONINN;DIE BARONINN
266;266;Heyse, Paul;Don Juan's Ende;1883;DON JUAN;SEVERAL;DON JUAN;SEVERAL
262;262;Engel, Johann Jakob;Eid und Pflicht;1776;MADAME WELLDORF;SEVERAL;MADAME WELLDORF;SEVERAL
7;7;Mylius, Christlob;Die Schäferinsel;1749;CHLOE;SEVERAL;SEVERAL;SEVERAL
380;380;Grabbe, Christian Dietrich;Scherz, Satire, Ironie und tiefere Bedeutung;1827;SEVERAL;SCHULMEISTER;SCHULMEISTER;SCHULMEISTER
221;221;May, Karl;Babel und Bibel;1906;SCHEIK;SCHEIK;SCHEIK;SCHEIK
158;158;Grabbe, Christian Dietrich;Herzog Theodor von Gothland;1827;GOTHLAND;GOTHLAND;GOTHLAND;GOTHLAND
60;60;Hauptmann, Carl;Frau Nadja Bielew;1909;SEVERAL;SEVERAL;SEVERAL;SEVERAL
398;398;Gerhäuser, Emil;Der Moloch;1906;TEUT;TEUT;TEUT;TEUT
271;271;Schönthan, Franz und Paul von;Der Raub der Sabinerinnen;1885;GOLLWITZ;SEVERAL;SEVERAL;SEVERAL
80;80;Schnitzler, Arthur;Liebelei;1895;SEVERAL;SEVERAL;SEVERAL;SEVERAL
251;251;Rosenow, Emil;Die im Schatten leben;1899;SEVERAL;SEVERAL;SEVERAL;SEVERAL
426;426;Wagner, Heinrich Leopold;Voltaire am Abend seiner Apotheose;1778;SEVERAL;SEVERAL;SEVERAL;SEVERAL
47;47;Heyse, Paul;Colberg;1865;SEVERAL;GNEISENAU;GNEISENAU;GNEISENAU
357;357;Lessing, Gotthold Ephraim;Minna von Barnhelm oder Das Soldatenglück;1767;FRANZISKA;VON TELLHEIM;VON TELLHEIM;VON TELLHEIM
201;201;Goethe, Johann Wolfgang von;Faust. Der Tragödie zweiter Teil;1832;MEPHISTOPHELES;MEPHISTOPHELES;MEPHISTOPHELES;MEPHISTOPHELES
443;443;Klinger, Friedrich Maximilian;Simsone Grisaldo;1776;GRISALDO;GRISALDO;GRISALDO;GRISALDO
317;317;Wagner, Richard;Das Rheingold;1853;SEVERAL;SEVERAL;SEVERAL;SEVERAL
315;315;Moser, Gustav von;Krieg oder Frieden;1881;JOHANN;JOHANN;JOHANN;JOHANN
456;456;Weißenthurn, Johanna von;Johann, Herzog von Finnland;1811;JÖRAN;JÖRAN;JÖRAN;JÖRAN
79;79;Hofmannsthal, Hugo von;Der Tor und der Tod;1894;SEVERAL;SEVERAL;SEVERAL;SEVERAL
82;82;Goethe, Johann Wolfgang von;Torquato Tasso;1790;TASSO;SEVERAL;SEVERAL;SEVERAL
32;32;Gerstenberg, Heinrich Wilhelm von;Ugolino;1768;SEVERAL;SEVERAL;SEVERAL;SEVERAL
314;314;Benkowitz, Karl Friedrich;Die Jubelfeier der Hölle, oder Faust der jüngere;1801;FAUST;SATAN;SATAN;SATAN
369;369;Lessing, Gotthold Ephraim;Nathan der Weise;1779;NATHAN;SALADIN;SALADIN;SALADIN
370;370;Scheerbart, Paul;Das Mirakel;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
421;421;Scheerbart, Paul;Die lustigen Räuber;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
186;186;Weiße, Christian Felix;Die Jagd;1770;RÖSCHEN;SEVERAL;SEVERAL;SEVERAL
131;131;Nestroy, Johann;Freiheit in Krähwinkel;1848;ULTRA;ULTRA;ULTRA;ULTRA
460;460;Wilbrandt, Adolf von;Gracchus der Volkstribun;1872;GRACCHUS;LÄTORIUS;GRACCHUS;LÄTORIUS
209;209;Grabbe, Christian Dietrich;Don Juan und Faust;1829;FAUST;FAUST;FAUST;FAUST
77;77;Droste-Hülshoff, Annette von;Perdu! oder Dichter, Verleger und Blaustrümpfe;1840;SPETH;SEYBOLD;SPETH;SEYBOLD
351;351;Ruederer, Josef;Die Fahnenweihe;1895;SEVERAL;SEVERAL;SEVERAL;SEVERAL
4;4;Immermann, Karl;Merlin;1832;MERLIN;KÖNIG ARTUS;MERLIN;MERLIN
8;8;Schiller, Friedrich;Die Räuber;1781;KARL VON MOOR;SCHWARZ;SCHWARZ;SCHWARZ
181;181;Scheerbart, Paul;Der Herr vom Jenseits;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
128;128;Berg, O. F.;Berlin, wie es weint und lacht;1858;AGNES;FERDINAND;FERDINAND;FERDINAND
125;125;Günderode, Karoline von;Nikator;1805;SEVERAL;SEVERAL;SEVERAL;SEVERAL
255;255;Eichendorff, Joseph von;Der letzte Held von Marienburg;1830;GRAF HEINRICH VON PLAUEN;GRAF HEINRICH VON PLAUEN;GRAF HEINRICH VON PLAUEN;GRAF HEINRICH VON PLAUEN
333;333;Widmann, Joseph Viktor;Der Widerspenstigen Zähmung;1874;KATHARINE;CHOR;CHOR;CHOR
16;16;Hebbel, Friedrich;Der gehörnte Siegfried;1861;SEVERAL;SEVERAL;SEVERAL;SEVERAL
66;66;Sturz, Helfrich Peter;Julie;1767;HERR VON WOHLAU;HERR VON WOHLAU;HERR VON WOHLAU;HERR VON WOHLAU
341;341;Nestroy, Johann;Das Haus der Temperamente;1837;HUTZIBUTZ;CYPRIAN;CYPRIAN;CYPRIAN
122;122;Neuber, Friederike Caroline;Das Schäferfest oder Die Herbstfreude;1754;SYLVAN;SEVERAL;SEVERAL;SEVERAL
235;235;Iffland, August Wilhelm;Verbrechen aus Ehrsucht;1784;RUHBERG DER SOHN;RUHBERG DER SOHN;CHRISTIAN;RUHBERG DER SOHN
435;435;Müller, Friedrich (Maler Müller);Golo und Genovefa;1775;GOLO;GOLO;GOLO;GOLO
363;363;Kleist, Heinrich von;Der zerbrochene Krug;1808;ADAM;SEVERAL;ADAM;SEVERAL
428;428;Wildgans, Anton;Dies irae;1918;SEVERAL;RABANSER;RABANSER;RABANSER
373;373;Wieland, Christoph Martin;Alceste;1773;PARTHENIA;SEVERAL;SEVERAL;SEVERAL
238;238;Hebbel, Friedrich;Gyges und sein Ring;1856;SEVERAL;SEVERAL;SEVERAL;SEVERAL
21;21;Kaiser, Friedrich;Stadt und Land oder Der Viehhändler aus Oberösterreich;1844;SEBASTIAN;SEBASTIAN;SEBASTIAN;SEBASTIAN
448;448;Hauptmann, Carl;Musik;1918;DER DOMORGANIST;DER DOMORGANIST;DER DOMORGANIST;DER DOMORGANIST
345;345;Klopstock, Friedrich Gottlieb;Hermanns Schlacht;1769;BRENNO;BRENNO;BRENNO;BRENNO
439;439;Wildenbruch, Ernst von;Die Karolinger;1881;LUDWIG;BERNHARD;BERNHARD;BERNHARD
215;215;Pfeil, Johann Gottlob Benjamin;Lucie Woodvil;1756;LUCIE;SEVERAL;SEVERAL;SEVERAL
118;118;Eichendorff, Joseph von;Die Freier;1833;SCHLENDER;SEVERAL;FLEDER;SEVERAL
124;124;Gellert, Christian Fürchtegott;Die Betschwester;1745;LORCHEN;SEVERAL;SEVERAL;SEVERAL
12;12;Hofmannsthal, Hugo von;Die Frau ohne Schatten;1911;SEVERAL;SEVERAL;SEVERAL;SEVERAL
160;160;Hebbel, Friedrich;Kriemhilds Rache;1861;HAGEN;HAGEN;HAGEN;HAGEN
5;5;Hafner, Philipp;Der Furchtsame;1764;HANSWURST;SEVERAL;SEVERAL;SEVERAL
176;176;Schnitzler, Arthur;Anatols Größenwahn;1891;SEVERAL;SEVERAL;SEVERAL;SEVERAL
184;184;Raimund, Ferdinand;Die unheilbringende Zauberkrone oder König ohne Reich, Held ohne Mut, Schönheit ohne Jugend;1829;EWALD;SIMPLIZIUS;SIMPLIZIUS;SIMPLIZIUS
290;290;Kobell, Franz von;Der Roaga;1847;LISEI;SEVERAL;SEVERAL;SEVERAL
420;420;Ertler, Bruno;Anna Iwanowna;1920;SEVERAL;SEVERAL;SEVERAL;SEVERAL
36;36;Mosenthal, Salomon Hermann von;Die Königin von Saba;1875;SEVERAL;CHOR;ASSAD;CHOR
